name,link,subscribers
Дом2. Новости от ТелеСони,https://t.me/novostiotTeleSoni,1706
НОВОСТИ ЭНЕРГОДАРА 🇷🇺,https://t.me/novostienergodara,9329
БрестСИТИ - новости,https://t.me/brestcity,16890
Италия | Новости | Туризм,https://t.me/novosti_evropa,6163
Аниме новости 🇯🇵,https://t.me/animes_smotret_online,54460
SHABALKINGS | ИГРОВЫЕ НОВОСТИ,https://t.me/shabalkings,1255
Мурманский Вестник — новости,https://t.me/vestnik51,4468
Вестикс: Горячие новости,https://t.me/rossiax,26600
Российская Газета | Новости,https://t.me/rgrunews,155878
"""КамКам""- Новости Камчатки.",https://t.me/novostikam,535
OFNEWS / Околоспортивные новости,https://t.me/ofnews,69087
Tengrinews.kz - Новости Казахстана,https://t.me/tengrinews,232062
Вестник Дамаска,https://t.me/NovostiDamask,10897
НТС – Новости Севастополя,https://t.me/nts_novosti,5904
APPDATE | Последние новости технологий,https://t.me/appdatemedia,2902
Интересное в Москве | Новости,https://t.me/vse_o_moskve,1104
Ой Вей Новости,https://t.me/oiveynews,22437
Portobello - Хорошие новости,https://t.me/portobello_info,992
sky crypto | новости,https://t.me/sky_banker,5570
CryptoLeo Новости,https://t.me/cryptolevan,15016
Новости из Сербии,https://t.me/NewsSerbia,7204
"Crypto-Крипта | Новости, прогнозы и аналитика",https://t.me/Proffit_crypto,54646
Sputnik Армения — Новости,https://t.me/SputnikARM,43644
МАЮ ПРАВО - новости Николаевщины,https://t.me/mayupravo,397
Спорт Инсайд | Новости Прогнозы,https://t.me/sportabzac,124304
"Осторожно, новости",https://t.me/ostorozhno_novosti,1577516
Газетчик | Новости Live,https://t.me/gazetchick,122073
"Новости кино, сериалы | Фильмы, съемки",https://t.me/kino_novosti_serialy,1447
Одесский инсайдер / актуальные новости Одессы и Украины,https://t.me/odesin,2632
Политика | Новости,https://t.me/politic_mid,24701
СОРОКА | Новости | Сегодня,https://t.me/sorokalife,114938
Иваново | Новости | Политика,https://t.me/Ivanovo_polit,31936
ATV | МОТО Новости,https://t.me/atvblog,7804
Керчь ИНФО новости Керчи и Крыма,https://t.me/kerch_news,28140
Новости с Кавказа,https://t.me/gvasadze,2529
Новости Кирова | Девятка ТВ,https://t.me/devyatka_tv,1008
Новости Вьетнама,https://t.me/vietnamnews_ru,5161
Новости и недвижимость на Северном Кипре,https://t.me/velesproperty,1219
Новости футбола | 90 минут | Лига Чемпионов,https://t.me/minut90,18866
Binance Новости,https://t.me/binance_ru,129711
Армия России | Новости | Мобилизация,https://t.me/rf_army,4943
Казань | Народные новости,https://t.me/kazan_novost,466
Плюс Резидент | Новости,https://t.me/plusresnews,9925
Новости Москвы,https://t.me/moskvanovosti,6236
Ripple News | Новости XRP,https://t.me/ripplenewsru,931
"Rogandar NEWs: Новости, факты, события!",https://t.me/Rogandar,166289
Новости Москвы • Самое Важное!,https://t.me/go_msk,37721
E1.RU | Новости Екатеринбурга,https://t.me/e1_news,290491
ГУВМ Новости,https://t.me/ufmsmsk,16831
ПолитНавигатор. Новости и аналитика,https://t.me/Politnavigator,132678
ГУВМ квоты Новости,https://t.me/kvotamoscow,8301
Петербург: новости районов,https://t.me/petrolenspb,4705
Сильные Новости - gomel.today,https://t.me/gomeltoday,22811
МК: срочные новости,https://t.me/mk_srochno,17670
Новости Украины 🇺🇦,https://t.me/UkraineN,70593
NEWS1.ru - Новости России и мира,https://t.me/ru_NEWS1,6545
Новости Кипра,https://t.me/cyprusnews,25557
Молочные новости,https://t.me/milknews,3700
74.RU| Новости Челябинска,https://t.me/news_74ru,77153
Азия-Плюс | Все новости Таджикистана и мира,https://t.me/asiaplus,65751
Испания от А до Я • Новости,https://t.me/spainru,14629
Новости настольных игр,https://t.me/nastole,2574
Россия. Кубань | Новости,https://t.me/russiakuban,30298
125region.ru | Новости,https://t.me/rusvdk,1233
AST-NEWS.ru - новости Астрахани,https://t.me/ast_news,4870
Крым 24 |Z| Все новости Крыма,https://t.me/tvcrimea24,57661
Новости Башкирии и Уфы,https://t.me/newsbash,4297
78 | НОВОСТИ,https://t.me/good78news,52945
Новости Трейлеры Сериалы Премьеры,https://t.me/kinovost,3818
ОТС-Горсайт – Новости Новосибирска,https://t.me/otsnews,8068
Испанский Амиго • Новости Испании,https://t.me/amigokonon,4615
ООО ЧЕЛЯБЗАВОД | Новости Челябинска и области,https://t.me/zvd74,31269
Kun.uz | Новости Узбекистана,https://t.me/kunuzru,86219
Бизнес и Деньги | Новости,https://t.me/bizmoneynews,64521
РЕН ТВ|Новости,https://t.me/rentv_news,87182
Ripple XRP Channel (Новости рипл),https://t.me/rippleweb,10653
АкварельТур - турагентство: новости и туры,https://t.me/akvareltour,295
"kp40.ru - Калуга, Обнинск и Калужская область. Новости",https://t.me/kp40ru,13564
Новости / Только главное,https://t.me/news_rambler,11638
Coinspot: новости криптоэкономики,https://t.me/coinspot,5165
Новости Камчатки - Кам 24,https://t.me/IA_Kam24,30781
DSML KZ Новости,https://t.me/main_ds_kz,3052
9 утра | Новости и анонсы,https://t.me/v9utra,61491
Om1.ru: Новости Омска и России,https://t.me/om1_ru,63232
